gene	n_edges	median_beta	median_t	p_stouffer	q_BH	symbol
ENSMUSG00000021751	80	0.1058373166248209	0.1866623484494959	0.9988846095646616	1.0	ENSMUSG00000021751
ENSMUSG00000008668	85	0.100118382275105	0.137808523909305	0.9988862462717464	1.0	ENSMUSG00000008668
ENSMUSG00000023043	84	0.037646406888961	0.0720358882267062	0.9988922622436524	1.0	ENSMUSG00000023043
ENSMUSG00000030213	89	0.1136499106884014	0.1503486490437533	0.9989257376087166	1.0	ENSMUSG00000030213
ENSMUSG00000031710	86	0.0557150736451143	0.0775839550117556	0.9989279431441552	1.0	ENSMUSG00000031710
ENSMUSG00000087141	120	0.078369747102262	0.0914672653221606	0.9989478861947576	1.0	ENSMUSG00000087141
ENSMUSG00000042747	81	0.1031971074640734	0.2144471947001781	0.9989599137627008	1.0	ENSMUSG00000042747
ENSMUSG00000032902	85	-0.0740770101547235	-0.1341927586668497	0.998983700421679	1.0	ENSMUSG00000032902
ENSMUSG00000036986	130	-0.0049287512898451	-0.0040197488161493	0.9989862136551952	1.0	ENSMUSG00000036986
ENSMUSG00000041477	81	-0.1002638814010417	-0.194694793138752	0.9990084176167064	1.0	ENSMUSG00000041477
ENSMUSG00000036218	109	-0.2026045560836794	-0.2219077962389455	0.9990143008804095	1.0	ENSMUSG00000036218
ENSMUSG00000104388	84	-0.0314198670908806	-0.0526826949799237	0.9990310988401366	1.0	ENSMUSG00000104388
ENSMUSG00000023087	81	0.0331008553504928	0.0378748959642602	0.9990433066336216	1.0	ENSMUSG00000023087
ENSMUSG00000025142	101	0.1811330974102005	0.2753216017622388	0.9990701329531724	1.0	ENSMUSG00000025142
ENSMUSG00000031955	84	-0.0901620980352154	-0.2020693523846479	0.9990716210978392	1.0	ENSMUSG00000031955
ENSMUSG00000055602	138	0.0184250082820672	0.0327146264192465	0.9990937516852968	1.0	ENSMUSG00000055602
ENSMUSG00000070803	89	-0.0735004305839561	-0.1027659684424202	0.9990994088987932	1.0	ENSMUSG00000070803
ENSMUSG00000047586	119	0.0319499328732462	0.0382033060175348	0.9991046931633006	1.0	ENSMUSG00000047586
ENSMUSG00000018697	86	-0.0085273652919552	-0.0111599363028727	0.99910591916833	1.0	ENSMUSG00000018697
ENSMUSG00000112324	126	-0.1261389506980773	-0.1940554319269808	0.999115640742255	1.0	ENSMUSG00000112324
ENSMUSG00000000440	91	0.1834780335426316	0.2814749700081875	0.9991422213258824	1.0	ENSMUSG00000000440
ENSMUSG00000061887	97	0.0050399661064146	0.0079066765949083	0.9991436672816996	1.0	ENSMUSG00000061887
ENSMUSG00000025369	97	0.0396873334422703	0.0612149775734417	0.9991554787404948	1.0	ENSMUSG00000025369
ENSMUSG00000034785	159	0.1289701044559485	0.1861840429567199	0.9991598765001188	1.0	ENSMUSG00000034785
ENSMUSG00000002985	88	-0.1349456973373884	-0.1993306009009692	0.9991626247123044	1.0	ENSMUSG00000002985
ENSMUSG00000061808	103	0.0700908944010726	0.1695791324165853	0.9991678182381784	1.0	ENSMUSG00000061808
ENSMUSG00000035735	120	-0.0369512081146238	-0.088526672038184	0.999178190239018	1.0	ENSMUSG00000035735
ENSMUSG00000052040	87	0.2047292649745919	0.3119345902402169	0.9991926390808163	1.0	ENSMUSG00000052040
ENSMUSG00000041220	80	0.0929700840264543	0.1398630918276598	0.9992024070131384	1.0	ENSMUSG00000041220
ENSMUSG00000046541	100	0.1481423892080781	0.1750459296677204	0.9992150420226772	1.0	ENSMUSG00000046541
ENSMUSG00000040740	100	0.1146777182817447	0.1918544407142117	0.9992155635693084	1.0	ENSMUSG00000040740
ENSMUSG00000078706	98	0.0775670427829024	0.1437589569151146	0.9992282323309428	1.0	ENSMUSG00000078706
ENSMUSG00000027435	99	-0.0509714104235168	-0.0780830651656016	0.9992291686628756	1.0	ENSMUSG00000027435
ENSMUSG00000030795	113	-0.0579782158136349	-0.0834457103869242	0.9992396439694404	1.0	ENSMUSG00000030795
ENSMUSG00000044349	88	-0.0381707176566119	-0.0485345531038892	0.9992484482521232	1.0	ENSMUSG00000044349
ENSMUSG00000078247	87	0.0315569305792449	0.0538195300183209	0.9992485282871424	1.0	ENSMUSG00000078247
ENSMUSG00000041841	90	0.0583124190568916	0.0575819726875051	0.9992549102059912	1.0	ENSMUSG00000041841
ENSMUSG00000119670	125	0.0569647938013075	0.0743445470401616	0.9992555722779288	1.0	ENSMUSG00000119670
ENSMUSG00000109199	105	0.1098258659243587	0.1775601470554281	0.9992631065059784	1.0	ENSMUSG00000109199
ENSMUSG00000078853	89	-0.1235379252582796	-0.1639799999096088	0.9992689996568488	1.0	ENSMUSG00000078853
ENSMUSG00000003779	82	0.0262218289077275	0.0589167953524571	0.9992706857276028	1.0	ENSMUSG00000003779
ENSMUSG00000037679	87	-0.0631022103130826	-0.1067983791123877	0.9992746809346438	1.0	ENSMUSG00000037679
ENSMUSG00000031762	104	0.0410858902148899	0.0667463175412649	0.9992848961563604	1.0	ENSMUSG00000031762
ENSMUSG00000022366	191	0.1153979305177923	0.1628459991108062	0.9992944214416084	1.0	ENSMUSG00000022366
ENSMUSG00000032295	84	-0.0503478344529869	-0.0854280910045522	0.9992956718178052	1.0	ENSMUSG00000032295
ENSMUSG00000105263	123	-0.0653234928846351	-0.1342053394183348	0.9993006626231612	1.0	ENSMUSG00000105263
ENSMUSG00000036880	89	0.0521471150219441	0.0577308466230779	0.9993108666255496	1.0	ENSMUSG00000036880
ENSMUSG00000045672	94	0.0428198941051956	0.0636286292460579	0.9993108851210064	1.0	ENSMUSG00000045672
ENSMUSG00000052516	87	0.0034167122095815	0.0056918582731642	0.9993141118764994	1.0	ENSMUSG00000052516
ENSMUSG00000046516	83	-0.0728756427764895	-0.092954473237162	0.9993303989512442	1.0	ENSMUSG00000046516
ENSMUSG00000022270	81	0.0049763858318317	0.0078116901295659	0.9993333785674748	1.0	ENSMUSG00000022270
ENSMUSG00000108494	83	0.159487414360048	0.212229988208381	0.9993411544553912	1.0	ENSMUSG00000108494
ENSMUSG00000056493	81	0.0328323346562682	0.0440009005698434	0.9993428924598592	1.0	ENSMUSG00000056493
