rank	gene	degree
383	ENSMUSG00000065947	105
384	ENSMUSG00000040405	105
385	ENSMUSG00000121783	105
386	ENSMUSG00000047822	105
387	ENSMUSG00000028150	105
388	ENSMUSG00000027339	105
389	ENSMUSG00000039109	104
390	ENSMUSG00000020429	104
391	ENSMUSG00000114279	104
392	ENSMUSG00000037686	104
393	ENSMUSG00000031016	104
394	ENSMUSG00000099041	104
395	ENSMUSG00000026819	104
396	ENSMUSG00000093789	104
397	ENSMUSG00000002289	104
398	ENSMUSG00000056025	103
399	ENSMUSG00000055827	103
400	ENSMUSG00000074264	103
401	ENSMUSG00000042425	103
402	ENSMUSG00000039323	103
403	ENSMUSG00000031461	102
404	ENSMUSG00000001270	102
405	ENSMUSG00000120875	102
406	ENSMUSG00000030064	102
407	ENSMUSG00000035031	102
408	ENSMUSG00000050621	102
409	ENSMUSG00000066072	102
410	ENSMUSG00000089417	102
411	ENSMUSG00000000359	102
412	ENSMUSG00000119668	102
413	ENSMUSG00000087365	102
414	ENSMUSG00000032575	102
415	ENSMUSG00000028927	102
416	ENSMUSG00000058571	102
417	ENSMUSG00000031849	102
418	ENSMUSG00000103711	101
419	ENSMUSG00000011305	101
420	ENSMUSG00000036446	101
421	ENSMUSG00000010044	101
422	ENSMUSG00000021670	101
423	ENSMUSG00000027875	101
424	ENSMUSG00000031549	101
425	ENSMUSG00000061175	101
426	ENSMUSG00000037440	101
427	ENSMUSG00000041920	101
428	ENSMUSG00000005125	101
429	ENSMUSG00000070368	101
430	ENSMUSG00000118864	101
431	ENSMUSG00000060032	101
432	ENSMUSG00000022123	101
433	ENSMUSG00000042834	101
434	ENSMUSG00000120167	101
435	ENSMUSG00000032758	101
436	ENSMUSG00000037625	101
437	ENSMUSG00000079494	100
438	ENSMUSG00002075453	100
439	ENSMUSG00000054422	100
440	ENSMUSG00000025889	100
441	ENSMUSG00000029641	100
442	ENSMUSG00000119776	100
443	ENSMUSG00000057722	100
444	ENSMUSG00000080440	100
445	ENSMUSG00000027078	100
446	ENSMUSG00000034522	100
447	ENSMUSG00000052684	100
448	ENSMUSG00000007872	100
449	ENSMUSG00000016763	100
450	ENSMUSG00000104503	99
451	ENSMUSG00000015656	99
452	ENSMUSG00000021228	99
453	ENSMUSG00000065637	99
454	ENSMUSG00000031283	99
455	ENSMUSG00000079262	99
456	ENSMUSG00000058740	99
457	ENSMUSG00000046999	99
458	ENSMUSG00000045193	99
459	ENSMUSG00000026315	99
460	ENSMUSG00000019929	99
461	ENSMUSG00000022853	99
462	ENSMUSG00000040896	99
463	ENSMUSG00000027245	99
464	ENSMUSG00000023905	98
465	ENSMUSG00000062248	98
466	ENSMUSG00000016194	98
467	ENSMUSG00000064360	98
